Цифр. код;Букв. код;Единиц;Валюта;Курс
36;AUD;1;Австралийский доллар;51.2337
944;AZN;1;Азербайджанский манат;45.0552
51;AMD;100;Армянских драмов;19.726
933;BYN;1;Белорусский рубль;26.9261
975;BGN;1;Болгарский лев;42.1889
986;BRL;1;Бразильский реал;14.6443
348;HUF;100;Венгерских форинтов;21.5085
410;KRW;1000;Вон Республики Корея;58.9728
704;VND;10000;Вьетнамских донгов;32.4482
344;HKD;10;Гонконгских долларов;97.7399
981;GEL;1;Грузинский лари;29.7406
208;DKK;1;Датская крона;11.0736
784;AED;1;Дирхам ОАЭ;20.8561
840;USD;1;Доллар США;76.5939
978;EUR;1;Евро;82.775
818;EGP;10;Египетских фунтов;24.7902
356;INR;100;Индийских рупий;92.6391
360;IDR;10000;Индонезийских рупий;50.4771
398;KZT;100;Казахстанских тенге;16.6919
124;CAD;1;Канадский доллар;55.9815
634;QAR;1;Катарский риал;21.0423
417;KGS;100;Киргизских сомов;87.616
156;CNY;1;Китайский юань;11.1127
498;MDL;10;Молдавских леев;41.3672
554;NZD;1;Новозеландский доллар;47.5878
934;TMT;1;Новый туркменский манат;21.884
578;NOK;10;Норвежских крон;73.4003
985;PLN;1;Польский злотый;17.737
946;RON;1;Румынский лей;16.7455
960;XDR;1;СДР (специальные права заимствования);102.7691
941;RSD;100;Сербских динаров;70.5834
702;SGD;1;Сингапурский доллар;57.6588
972;TJS;10;Таджикских сомони;70.5834
764;THB;10;Таиландских батов;22.3411
949;TRY;10;Турецких лир;40.1326
860;UZS;10000;Узбекских сумов;67.1553
980;UAH;10;Украинских гривен;20.738
826;GBP;1;Фунт стерлингов Соединенного королевства;94.0114
203;CZK;10;Чешских крон;34.768
752;SEK;10;Шведских крон;74.2067
756;CHF;1;Швейцарский франк;83.4993
710;ZAR;10;Южноафриканских рэндов;41.8869
392;JPY;100;Японских иен;58.6253